isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
US0937121079,BE,03366801,-5.1125796182864615e-05,USA,BBG000N7KBZ3,,US,0.3088705768298592,0.3088705768298592,-1.5791254157887206e-05,-1.5791254157887206e-05,False
CH0009002962,BARN,22415901W,0.0007978018117886,CHE,BBG000C35LZ9,,SW,-0.00627802690582957,-0.01950180073120855,-5.008621239928409e-06,-1.5558571956498428e-05,False
FR0010220475,ALO,21839901W,0.0003560385472924,FRA,BBG000DQ77T3,,FP,-0.036369193154034196,-0.04317086555880667,-1.2948834696759035e-05,-1.537049225891303e-05,False
JP3188220002,4578,29628801W,0.0001815281812869,JPN,BBG000DZLC98,,JP,-0.10979591836734692,-0.08362695987652113,-1.9931053373949425e-05,-1.518064993293744e-05,False
US7611521078,RMD,03188701,0.0003066481474671,USA,BBG000L4M7F1,,US,-0.049354435651811746,-0.049354435651811746,-1.5134446261912267e-05,-1.5134446261912267e-05,False
GB0006731235,ABF,01740401W,0.0001361352655181,GBR,BBG000BD3RV1,,LN,-0.10380116959064323,-0.10989195735317847,-1.4130999783311544e-05,-1.4960170792578674e-05,False
US22788C1053,CRWD,03518201,-0.0003297203008607,USA,BBG00BLYKS03,,US,0.044848484848484915,0.044848484848484915,-1.4787455917388992e-05,-1.4787455917388992e-05,False
US1468691027,CVNA,03099901,0.0001333761050286,USA,BBG00GCTWDJ3,,US,-0.10971957527906329,-0.10971957527906329,-1.463396959611373e-05,-1.463396959611373e-05,False
DK0061539921,VWS,22509401W,0.0003395846855998,DNK,BBG000BJBJM7,,DC,-0.03507951356407857,-0.04200252211363964,-1.191246558465154e-05,-1.4263413266358963e-05,False
US11135F1012,AVGO,18071101,0.0001699683754687,USA,BBG00KHY5S69,,US,-0.08324782632175831,-0.08324782632175831,-1.4149497801209743e-05,-1.4149497801209743e-05,False
US8666741041,SUI,02935901,0.0002610504842257,USA,BBG000BLJWF3,,US,-0.053780266842365365,-0.053780266842365365,-1.4039364700986835e-05,-1.4039364700986835e-05,False
US3156161024,FFIV,12107701,-0.0003471913137416,USA,BBG000CXYSZ6,,US,0.040429346891656115,0.040429346891656115,-1.4036718061028957e-05,-1.4036718061028957e-05,False
US90353T1007,UBER,03507701,0.0002261856064658,USA,BBG002B04MT8,,US,-0.061863846662260524,-0.061863846662260524,-1.3992711675610654e-05,-1.3992711675610654e-05,False
IT0004776628,BMED,21295501W,0.0003113600719069,ITA,BBG000F0TLL1,,IM,-0.037837837837837895,-0.04462954684312803,-1.1781191909990828e-05,-1.3895858914248705e-05,False
JP3407400005,5802,01941301W,0.0002682771548191,JPN,BBG000BLBD45,,JP,-0.07856821251688428,-0.05148151529901002,-2.1078056513252117e-05,-1.3811314450194375e-05,False
NL0010273215,ASML,06121401W,0.0003029391116559,NLD,BBG000C1HSN8,,,-0.038297286127565666,-0.045085628520406096,-1.1601745838316564e-05,-1.365820025241973e-05,False
JP3343200006,8136,10136001W,0.0002879308569462,JPN,BBG000BGTVW6,,JP,-0.07423241352506804,-0.0470177764207359,-2.137380243945753e-05,-1.3537868656527325e-05,False
US2787681061,SATS,17920201,-0.0001665703694559,USA,BBG000TGLV00,,US,0.08121240166589527,0.08121240166589527,-1.3527579749889125e-05,-1.3527579749889125e-05,False
GB00BTK05J60,AAL,01550802W,0.0001501619044524,GBR,BBG000BWF7C1,,LN,-0.08339189505739053,-0.08962137552788618,-1.2522285777712444e-05,-1.3457716428911103e-05,False
SG1T56930848,F34,24611601W,0.0003770686141529,SGP,BBG000BM10N1,,SP,-0.03385416666666663,-0.035523567056112704,-1.2765343708301289e-05,-1.339482219961603e-05,False
US0846707026,BRKB,00217602,-0.0004166954491372,USA,BBG000DWG505,,US,0.03128782016943443,0.03128782016943443,-1.3037492278026425e-05,-1.3037492278026425e-05,False
