isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
CNE100005428,688183 CH Equity,34709601W,0.0009235235701051,CHN,,,,-0.03631284916201116,-0.034415575952056354,-3.353577209878854e-05,-3.1783595570466314e-05,False
CNE1000006C3,002156 CH Equity,28580401W,0.0003888414780672,CHN,,,,-0.0828686493184635,-0.08106333176871228,-3.2222768086423813e-05,-3.152078574199789e-05,False
CNE100005QT0,688213 CH Equity,35343101W,0.0004519439676195,CHN,,,,-0.07009063444108754,-0.06826041797063986,-3.167703942227308e-05,-3.08498841290164e-05,False
CNE1000028B9,601127 CH Equity,32180201W,0.0003660916815704,CHN,,,,-0.08225806451612905,-0.08045159533611579,-3.0113993161436132e-05,-2.9452659821619978e-05,False
CNE100000650,002152 CH Equity,28574301W,0.0005871736123278,CHN,,,,-0.05144032921810704,-0.049571408820683116,-3.0204403926327184e-05,-2.9107023185418674e-05,False
CNE100002FY0,603298 CH Equity,32317601W,0.0003086993942893,CHN,,,,-0.09569561875480392,-0.09391397760608189,-2.954117954574775e-05,-2.8991188002296362e-05,False
CNE000001Q02,601991 CH Equity,21350202W,0.0006763814133683,CHN,,,,-0.04442948502187816,-0.04256618453639727,-3.0051277874323663e-05,-2.8790976058424257e-05,False
CNE000001F70,600031 CH Equity,26012701W,0.0002934570848744,CHN,,,,-0.09145427286356833,-0.08966330090697539,-2.6837904313850708e-05,-2.6312330904377143e-05,False
CNE100001T23,603606 CH Equity,31851701W,-0.0003787075801943,CHN,,,,0.06591782441619887,0.0680142129922956,-2.4963579776331417e-05,-2.5757498021131984e-05,False
CNE1000036B2,601869 CH Equity,31877303W,-0.0002426659794339,CHN,,,,0.10136894665169516,0.10353687043921278,-2.4598794723416365e-05,-2.512487607265238e-05,False
CNE1000031P3,601138 CH Equity,32738601W,0.0006797717976406,CHN,,,,-0.03871067242442949,-0.03681880546655114,-2.6314423381830838e-05,-2.502838557897702e-05,False
CNE0000011D3,000960 CH Equity,27024101W,0.000375338269021,CHN,,,,-0.068250898038132,-0.06641775249440207,-2.561717392876123e-05,-2.492912425351408e-05,False
CNE100005XM1,688608 CH Equity,34600801W,0.0002454091633093,CHN,,,,-0.10169011424794638,-0.09992139467044447,-2.4955685854415647e-05,-2.4521625862772125e-05,False
CNE1000048J0,601995 CH Equity,32067606W,0.0002968717659675,CHN,,,,-0.08436284603065669,-0.08256327186292423,-2.504494708316535e-05,-2.451070432200112e-05,False
CNE0000003F5,000688 CH Equity,25996701W,0.0001357479680644,CHN,,,,-0.18207547169811322,-0.18046531479849803,-2.4716375317386038e-05,-2.4497799789998402e-05,False
CNE100005VN3,688525 CH Equity,35555001W,0.0002641871403444,CHN,,,,-0.09305879855656984,-0.09127356997009961,-2.4584937874545763e-05,-2.4113303439425118e-05,False
CNE1000052S3,605117 CH Equity,34754501W,0.0007711128465064,CHN,,,,-0.03316674238982287,-0.03126366602430786,-2.5575301133560794e-05,-2.4107814500229457e-05,False
CNE100000Q50,002429 CH Equity,29482001W,0.0005629728351323,CHN,,,,-0.04444444444444451,-0.042562889498377166,-2.5021014894768927e-05,-2.3961750572324192e-05,False
CNE100003RK2,603893 CH Equity,33774001W,0.0003304657112117,CHN,,,,-0.07328228583174878,-0.07145819327085468,-2.4217282706607946e-05,-2.3614482661156103e-05,False
CNE1000000D4,000338 CH Equity,26065402W,0.0003857399575157,CHN,,,,-0.060728744939271384,-0.05888011791356296,-2.3425503492856325e-05,-2.271241418249718e-05,False
CNE1000020T8,300475 CH Equity,31982701W,0.0003456747529125,CHN,,,,-0.06702247191011235,-0.06518605199830141,-2.3167976417113057e-05,-2.2533172417854217e-05,False
CNE000001F05,600584 CH Equity,27071501W,0.0002796169690599,CHN,,,,-0.08184818481848188,-0.080040554708941,-2.2886141361998425e-05,-2.2380697309587187e-05,False
CNE000000XM3,000895 CH Equity,26000401W,0.0007191843879499,CHN,,,,-0.032834580216126286,-0.030929015465904097,-2.3614117476326675e-05,-2.2243665057739227e-05,False
CNE100000098,002128 CH Equity,28433601W,0.0002620452757681,CHN,,,,-0.08358817533129459,-0.08178557485291071,-2.1903886455641385e-05,-2.1431523516183575e-05,False
CNE100005GP9,001309 CH Equity,35376601W,0.0002684921191422,CHN,,,,-0.08132875143184426,-0.0795203861146383,-2.1836128819125098e-05,-2.1350596982925212e-05,False
CNE100000TP3,002475 CH Equity,29532601W,0.0002623507285134,CHN,,,,-0.08208955223880587,-0.0802828546207014,-2.1536253833189526e-05,-2.1062265396876394e-05,False
CNE000001NK6,002064 CH Equity,27844801W,0.0001357479680644,CHN,,,,-0.15656565656565669,-0.15490902509516025,-2.125346974745658e-05,-2.102858539150515e-05,False
CNE100000KC0,601117 CH Equity,29361201W,0.0006766726159463,CHN,,,,-0.032258064516129115,-0.030344902327345658,-2.18281489014936e-05,-2.0533564438479952e-05,False
CNE100001V45,601021 CH Equity,31888401W,0.0004998141677333,CHN,,,,-0.0419917393299678,-0.04010552137023604,-2.098806624488154e-05,-2.0045307785174604e-05,False
CNE100001260,300207 CH Equity,29716101W,-0.0001411848807307,CHN,,,,0.13719862227324886,0.13943692937895613,-1.9370371122065e-05,-1.968638624382296e-05,False
